Num timestep,mean reward
3000,-51.745
4000,-51.745
5000,-51.745
6000,-54.285
7000,-54.285
8000,-54.285
9000,-62.836110999999995
10000,-62.836110999999995
11000,-73.95583325
12000,-73.95583325
13000,-75.513
14000,-75.513
15000,-75.513
16000,-114.92777783333334
17000,-114.92777783333334
18000,-114.92777783333334
19000,-111.57190485714285
20000,-111.57190485714285
21000,-104.25979175
22000,-104.25979175
23000,-121.00074077777779
24000,-121.00074077777779
25000,-121.00074077777779
26000,-121.00074077777779
27000,-127.75400000000002
28000,-127.75400000000002
29000,-147.04287881818183
30000,-147.04287881818183
31000,-147.04287881818183
32000,-142.2241666666667
33000,-142.2241666666667
34000,-142.2241666666667
35000,-158.92769230769233
36000,-158.92769230769233
37000,-158.92769230769233
38000,-152.48202378571432
39000,-152.48202378571432
40000,-152.48202378571432
41000,-185.7058888666667
42000,-185.7058888666667
43000,-185.7058888666667
44000,-221.81302081249999
45000,-221.81302081249999
46000,-221.81302081249999
47000,-210.65176470588236
48000,-210.65176470588236
49000,-210.65176470588236
50000,-212.47064816666665
51000,-212.47064816666665
52000,-212.47064816666665
53000,-212.47064816666665
54000,-211.57552631578946
55000,-211.57552631578946
56000,-211.57552631578946
57000,-207.70766665000002
58000,-207.70766665000002
59000,-207.70766665000002
60000,-202.165873
61000,-202.165873
62000,-202.165873
63000,-196.6168939090909
64000,-196.6168939090909
65000,-196.6168939090909
66000,-191.88949273913042
67000,-191.88949273913042
68000,-191.88949273913042
69000,-190.061388875
70000,-190.061388875
71000,-190.061388875
72000,-190.061388875
73000,-190.061388875
74000,-188.7622
75000,-188.7622
76000,-188.7622
77000,-188.7622
78000,-183.31621796153848
79000,-183.31621796153848
80000,-183.31621796153848
81000,-183.31621796153848
82000,-183.31621796153848
83000,-178.52753088888892
84000,-178.52753088888892
85000,-183.05422621428573
86000,-183.05422621428573
87000,-183.05422621428573
88000,-183.05422621428573
89000,-178.5941954137931
90000,-178.5941954137931
91000,-178.5941954137931
92000,-178.5941954137931
93000,-179.58905556666664
94000,-179.58905556666664
95000,-179.58905556666664
96000,-195.06188174193548
97000,-195.06188174193548
98000,-195.06188174193548
99000,-190.52614584375
100000,-190.52614584375
101000,-190.52614584375
102000,-190.52614584375
103000,-191.84035354545455
104000,-191.84035354545455
105000,-191.84035354545455
106000,-191.84035354545455
107000,-191.84035354545455
108000,-191.84035354545455
109000,-193.2264215882353
110000,-193.2264215882353
111000,-193.2264215882353
112000,-193.2264215882353
113000,-193.2264215882353
114000,-190.55952382857143
115000,-190.55952382857143
116000,-190.55952382857143
117000,-190.55952382857143
118000,-190.55952382857143
119000,-188.9295833611111
120000,-188.9295833611111
121000,-188.9295833611111
122000,-186.1823874054054
123000,-186.1823874054054
124000,-186.1823874054054
125000,-186.1823874054054
126000,-182.51877194736844
127000,-182.51877194736844
128000,-182.51877194736844
129000,-182.51877194736844
130000,-182.37918805128206
131000,-182.37918805128206
132000,-182.37918805128206
133000,-182.37918805128206
134000,-187.499625025
135000,-187.499625025
136000,-187.499625025
137000,-183.85459351219512
138000,-183.85459351219512
139000,-183.85459351219512
140000,-183.85459351219512
141000,-183.85459351219512
142000,-181.26400795238095
143000,-181.26400795238095
144000,-181.26400795238095
145000,-181.26400795238095
146000,-181.26400795238095
147000,-181.02403102325582
148000,-181.02403102325582
149000,-181.02403102325582
150000,-181.02403102325582
151000,-180.2155303181818
152000,-180.2155303181818
153000,-180.2155303181818
154000,-180.2155303181818
155000,-180.2155303181818
156000,-178.0430740888889
157000,-178.0430740888889
158000,-178.0430740888889
159000,-178.0430740888889
160000,-178.0430740888889
161000,-178.0430740888889
162000,-176.2093840652174
163000,-176.2093840652174
164000,-176.2093840652174
165000,-176.2093840652174
166000,-176.2093840652174
167000,-174.29014185106382
168000,-174.29014185106382
169000,-174.29014185106382
170000,-174.29014185106382
171000,-175.52534722916667
172000,-175.52534722916667
173000,-175.52534722916667
174000,-175.52534722916667
175000,-175.52534722916667
176000,-172.7185034081633
177000,-172.7185034081633
178000,-172.7185034081633
179000,-172.7185034081633
180000,-172.7185034081633
181000,-174.2823
182000,-174.2823
183000,-174.2823
184000,-174.2823
185000,-174.2823
186000,-174.2823
187000,-174.2823
188000,-174.2823
189000,-174.55316666
190000,-174.55316666
191000,-174.55316666
192000,-174.55316666
193000,-174.55316666
194000,-174.55316666
195000,-174.55316666
196000,-174.55316666
197000,-184.1445
198000,-184.1445
199000,-184.1445
200000,-184.1445
201000,-183.55496668
202000,-183.55496668
203000,-183.55496668
204000,-183.55496668
205000,-183.55496668
206000,-185.50520001999996
207000,-185.50520001999996
208000,-185.50520001999996
209000,-185.50520001999996
210000,-185.50520001999996
211000,-186.05986667999997
212000,-186.05986667999997
213000,-186.05986667999997
214000,-186.05986667999997
215000,-186.05986667999997
216000,-186.05986667999997
217000,-183.15959999999998
218000,-183.15959999999998
219000,-183.15959999999998
220000,-183.15959999999998
221000,-183.15959999999998
222000,-182.19246665999998
223000,-182.19246665999998
224000,-182.19246665999998
225000,-182.19246665999998
226000,-184.7072
227000,-184.7072
228000,-184.7072
229000,-184.7072
230000,-184.7072
231000,-184.7072
232000,-184.7072
233000,-184.7072
234000,-181.92183333999998
235000,-181.92183333999998
236000,-181.92183333999998
237000,-179.23403334
238000,-179.23403334
