Num timestep,mean reward
3000,75.121667
4000,75.121667
5000,75.121667
6000,23.781667
7000,23.781667
8000,46.435000333333335
9000,46.435000333333335
10000,46.435000333333335
11000,-33.869166500000006
12000,-33.869166500000006
13000,-7.990666600000006
14000,-7.990666600000006
15000,-7.990666600000006
16000,-80.92138883333334
17000,-80.92138883333334
18000,-101.48142857142857
19000,-101.48142857142857
20000,-101.48142857142857
21000,-82.196666625
22000,-82.196666625
23000,-82.196666625
24000,-72.30074066666667
25000,-72.30074066666667
26000,-72.30074066666667
27000,-74.4698333
28000,-74.4698333
29000,-74.4698333
30000,-68.41469690909092
31000,-68.41469690909092
32000,-68.41469690909092
33000,-53.10069441666667
34000,-53.10069441666667
35000,-53.10069441666667
36000,-42.09384615384616
37000,-42.09384615384616
38000,-42.09384615384616
39000,-35.043214285714285
40000,-35.043214285714285
41000,-35.043214285714285
42000,-29.9947778
43000,-29.9947778
44000,-29.9947778
45000,-23.879375
46000,-23.879375
47000,-19.680686294117645
48000,-19.680686294117645
49000,-19.680686294117645
50000,-14.982037055555557
51000,-14.982037055555557
52000,-14.982037055555557
53000,-9.68921052631579
54000,-9.68921052631579
55000,-9.68921052631579
56000,-5.214083350000001
57000,-5.214083350000001
58000,-5.214083350000001
59000,-5.214083350000001
60000,1.5792063333333317
61000,1.5792063333333317
62000,1.5792063333333317
63000,1.5792063333333317
64000,2.6599242272727257
65000,2.6599242272727257
66000,2.6599242272727257
67000,2.6599242272727257
68000,-4.920000000000002
69000,-4.920000000000002
70000,-4.920000000000002
71000,-5.957569458333334
72000,-5.957569458333334
73000,-5.957569458333334
74000,-5.957569458333334
75000,-0.06666668000000073
76000,-0.06666668000000073
77000,-0.06666668000000073
78000,-0.06666668000000073
79000,-0.634743615384616
80000,-0.634743615384616
81000,-0.634743615384616
82000,-0.634743615384616
83000,3.6375925555555546
84000,3.6375925555555546
85000,3.6375925555555546
86000,3.6375925555555546
87000,-3.6818452857142865
88000,-3.6818452857142865
89000,-3.6818452857142865
90000,-0.482643724137932
91000,-0.482643724137932
92000,-0.482643724137932
93000,-0.482643724137932
94000,-1.426166700000001
95000,-1.426166700000001
96000,-1.426166700000001
97000,-8.999462387096775
98000,-8.999462387096775
99000,-8.999462387096775
100000,-11.455312531250003
