Num timestep,mean reward
3000,-38.731667
4000,-38.731667
5000,-75.1508335
6000,-75.1508335
7000,-75.1508335
8000,-99.88444466666665
9000,-99.88444466666665
10000,-101.69000025
11000,-101.69000025
12000,-101.69000025
13000,-108.43633359999998
14000,-108.43633359999998
15000,-157.42416683333332
16000,-157.42416683333332
17000,-157.42416683333332
18000,-131.86476199999998
19000,-131.86476199999998
20000,-122.65687512500001
21000,-122.65687512500001
22000,-122.65687512500001
23000,-112.64407422222223
24000,-112.64407422222223
25000,-98.3605001
26000,-98.3605001
27000,-98.3605001
28000,-94.37863645454546
29000,-94.37863645454546
30000,-89.96930566666667
31000,-89.96930566666667
32000,-89.96930566666667
33000,-86.96846161538461
34000,-86.96846161538461
35000,-86.96846161538461
36000,-94.43619057142858
37000,-94.43619057142858
38000,-94.43619057142858
39000,-96.21366673333334
40000,-96.21366673333334
41000,-96.21366673333334
42000,-98.89520837500001
43000,-98.89520837500001
44000,-94.2543137647059
45000,-94.2543137647059
46000,-94.2543137647059
47000,-92.59314816666668
48000,-92.59314816666668
49000,-92.59314816666668
50000,-91.5664035263158
51000,-91.5664035263158
52000,-92.203
53000,-92.203
54000,-92.203
55000,-85.97031747619049
56000,-85.97031747619049
57000,-85.97031747619049
58000,-84.08022727272729
59000,-84.08022727272729
60000,-82.49166665217393
61000,-82.49166665217393
62000,-82.49166665217393
63000,-82.49166665217393
64000,-89.05319441666666
65000,-89.05319441666666
66000,-86.82553331999999
67000,-86.82553331999999
68000,-86.82553331999999
69000,-91.92493588461538
70000,-91.92493588461538
71000,-90.61320985185185
72000,-90.61320985185185
73000,-90.61320985185185
74000,-93.4562499642857
75000,-93.4562499642857
76000,-93.4562499642857
77000,-94.54678158620689
78000,-94.54678158620689
79000,-94.54678158620689
80000,-96.0343333
81000,-96.0343333
82000,-94.05295696774193
83000,-94.05295696774193
84000,-94.05295696774193
85000,-96.1292708125
86000,-96.1292708125
87000,-96.1292708125
88000,-97.34146463636364
89000,-97.34146463636364
90000,-97.83588235294118
91000,-97.83588235294118
92000,-97.83588235294118
93000,-99.02395237142858
94000,-99.02395237142858
95000,-99.02395237142858
96000,-101.41597222222224
97000,-101.41597222222224
98000,-101.41597222222224
99000,-102.96139640540541
100000,-102.96139640540541
101000,-108.3878947368421
102000,-108.3878947368421
103000,-108.3878947368421
104000,-117.14470084615384
105000,-117.14470084615384
106000,-117.14470084615384
107000,-119.38499999999999
108000,-119.38499999999999
109000,-119.38499999999999
110000,-121.53808943902439
111000,-121.53808943902439
112000,-122.58515873809525
113000,-122.58515873809525
114000,-122.58515873809525
115000,-124.16755813953488
116000,-124.16755813953488
117000,-124.16755813953488
118000,-126.35117425
119000,-126.35117425
120000,-126.35117425
121000,-128.1357777777778
122000,-128.1357777777778
123000,-128.1357777777778
124000,-127.74974636956522
125000,-127.74974636956522
126000,-127.74974636956522
127000,-124.40666665957447
128000,-124.40666665957447
129000,-124.40666665957447
130000,-124.26052083333333
131000,-124.26052083333333
132000,-124.26052083333333
133000,-123.35925169387755
134000,-123.35925169387755
135000,-123.35925169387755
136000,-123.86693332
137000,-123.86693332
138000,-127.96689997999998
139000,-127.96689997999998
140000,-127.96689997999998
141000,-127.96689997999998
142000,-129.73126664
143000,-129.73126664
144000,-135.41759996000002
145000,-135.41759996000002
146000,-135.41759996000002
147000,-141.75316662
148000,-141.75316662
149000,-141.75316662
150000,-144.95256662
151000,-144.95256662
152000,-144.95256662
153000,-149.28006661999999
154000,-149.28006661999999
155000,-149.28006661999999
156000,-154.53136662
157000,-154.53136662
158000,-154.53136662
159000,-154.53136662
160000,-155.96866662
161000,-155.96866662
162000,-158.49743328
163000,-158.49743328
164000,-158.49743328
165000,-163.37239996
166000,-163.37239996
167000,-163.37239996
168000,-163.37239996
169000,-164.21006662
170000,-164.21006662
171000,-171.60829994
172000,-171.60829994
173000,-171.60829994
174000,-171.03256662
175000,-171.03256662
176000,-171.03256662
177000,-168.31249994
178000,-168.31249994
179000,-168.31249994
180000,-165.68016662000002
181000,-165.68016662000002
182000,-165.68016662000002
183000,-167.0258333
184000,-167.0258333
185000,-167.0258333
186000,-167.0258333
187000,-169.13033330000002
188000,-169.13033330000002
189000,-169.13033330000002
190000,-173.37396664
191000,-173.37396664
192000,-173.37396664
193000,-178.31716664000004
194000,-178.31716664000004
195000,-178.31716664000004
196000,-196.14146664000003
197000,-196.14146664000003
198000,-196.14146664000003
199000,-196.98409996000007
200000,-196.98409996000007
201000,-202.68783330000002
202000,-202.68783330000002
203000,-202.68783330000002
204000,-202.68783330000002
205000,-206.71626664000004
206000,-206.71626664000004
207000,-206.71626664000004
208000,-203.38396664
209000,-203.38396664
210000,-203.38396664
211000,-210.04259995999996
212000,-210.04259995999996
213000,-210.04259995999996
214000,-207.09123330000003
215000,-207.09123330000003
216000,-207.09123330000003
217000,-207.61789998
218000,-207.61789998
219000,-207.61789998
220000,-203.85809998000002
221000,-203.85809998000002
222000,-203.85809998000002
223000,-205.13466663999995
224000,-205.13466663999995
225000,-205.13466663999995
226000,-205.13466663999995
227000,-210.19469997999997
228000,-210.19469997999997
229000,-210.19469997999997
230000,-211.69869998
231000,-211.69869998
232000,-211.69869998
233000,-213.95676663999996
234000,-213.95676663999996
235000,-213.95676663999996
236000,-216.13873329999996
237000,-216.13873329999996
238000,-216.13873329999996
239000,-218.73549995999997
240000,-218.73549995999997
241000,-218.73549995999997
242000,-216.41589996
243000,-216.41589996
244000,-216.41589996
245000,-215.30353327999998
246000,-215.30353327999998
247000,-215.30353327999998
248000,-219.17253328000004
249000,-219.17253328000004
250000,-219.17253328000004
251000,-216.59219996
252000,-216.59219996
253000,-216.59219996
254000,-210.8149333
255000,-210.8149333
256000,-210.8149333
257000,-210.8149333
258000,-211.44163330000003
259000,-211.44163330000003
260000,-211.44163330000003
